time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554991352888,1870887,0.0,0.010101010101010102,0.010101010101010102
1554991353185,1871184,0.0,0.029411764705882353,0.010101010101010102
1554991353854,1871853,0.0,0.029411764705882353,0.01
1554991353888,1871887,0.01020408163265306,0.029411764705882353,0.01
1554991354184,1872183,0.01020408163265306,0.010101010101010102,0.01
1554991354854,1872853,0.01020408163265306,0.010101010101010102,0.01
1554991354888,1872887,0.010101010101010102,0.010101010101010102,0.01
1554991355184,1873183,0.010101010101010102,0.01,0.01
1554991355854,1873853,0.010101010101010102,0.01,0.010101010101010102
1554991355888,1873887,0.019801980198019802,0.01,0.010101010101010102
1554991356184,1874183,0.019801980198019802,0.0297029702970297,0.010101010101010102
1554991356855,1874854,0.019801980198019802,0.0297029702970297,0.0
1554991356888,1874887,0.010101010101010102,0.0297029702970297,0.0
1554991357184,1875183,0.010101010101010102,0.019801980198019802,0.0
1554991357855,1875854,0.010101010101010102,0.019801980198019802,0.0
1554991357888,1875887,0.02,0.019801980198019802,0.0
1554991358184,1876183,0.02,0.0,0.0
1554991358854,1876853,0.02,0.0,0.010101010101010102
1554991358888,1876887,0.0297029702970297,0.0,0.010101010101010102
1554991359184,1877183,0.0297029702970297,0.019801980198019802,0.010101010101010102
1554991359855,1877854,0.0297029702970297,0.019801980198019802,0.0
1554991359888,1877887,0.01,0.019801980198019802,0.0
1554991360184,1878183,0.01,0.019801980198019802,0.0
1554991360854,1878853,0.01,0.019801980198019802,0.010101010101010102
1554991360888,1878887,0.03,0.019801980198019802,0.010101010101010102
1554991361184,1879183,0.03,0.010101010101010102,0.010101010101010102
1554991361854,1879853,0.03,0.010101010101010102,0.0
1554991361889,1879888,0.010101010101010102,0.010101010101010102,0.0
1554991362185,1880184,0.010101010101010102,0.0,0.0
1554991362854,1880853,0.010101010101010102,0.0,0.010101010101010102
1554991362888,1880887,0.01,0.0,0.010101010101010102
1554991363184,1881183,0.01,0.019801980198019802,0.010101010101010102
1554991363854,1881853,0.01,0.019801980198019802,0.02
1554991363888,1881887,0.02,0.019801980198019802,0.02
1554991364184,1882183,0.02,0.010101010101010102,0.02
1554991364864,1882863,0.02,0.010101010101010102,0.01
1554991364888,1882887,0.02,0.010101010101010102,0.01
1554991365185,1883184,0.02,0.010101010101010102,0.01
1554991365854,1883853,0.02,0.010101010101010102,0.010101010101010102
1554991365888,1883887,0.0392156862745098,0.010101010101010102,0.010101010101010102
1554991366185,1884184,0.0392156862745098,0.019801980198019802,0.010101010101010102
1554991366855,1884854,0.0392156862745098,0.019801980198019802,0.0
1554991366888,1884887,0.02,0.019801980198019802,0.0
1554991367185,1885184,0.02,0.02,0.0
1554991367855,1885854,0.02,0.02,0.02
1554991367889,1885888,0.02,0.02,0.02
1554991368184,1886183,0.02,0.010101010101010102,0.02
1554991368855,1886854,0.02,0.010101010101010102,0.0
1554991368888,1886887,0.02,0.010101010101010102,0.0
1554991369184,1887183,0.02,0.010101010101010102,0.0
1554991369854,1887853,0.02,0.010101010101010102,0.010101010101010102
1554991369888,1887887,0.010101010101010102,0.010101010101010102,0.010101010101010102
1554991370185,1888184,0.010101010101010102,0.0,0.010101010101010102
1554991370854,1888853,0.010101010101010102,0.0,0.0
1554991370888,1888887,0.02,0.0,0.0
1554991371184,1889183,0.02,0.019801980198019802,0.0
1554991371854,1889853,0.02,0.019801980198019802,0.0
1554991371888,1889887,0.010101010101010102,0.019801980198019802,0.0
1554991372184,1890183,0.010101010101010102,0.010101010101010102,0.0
1554991372854,1890853,0.010101010101010102,0.010101010101010102,0.010101010101010102
1554991372888,1890887,0.02,0.010101010101010102,0.010101010101010102
1554991373185,1891184,0.02,0.01,0.010101010101010102
1554991373854,1891853,0.02,0.01,0.010101010101010102
1554991373888,1891887,0.0,0.01,0.010101010101010102
1554991374185,1892184,0.0,0.0,0.010101010101010102
